alleine,al|lei|ne
Neuverkabelung,Neu|ver|ka|be|lung
Niedeggen,Nie|deg|gen
Oberarm,O|ber|arm
Oberarmspeichenmuskel,O|ber|arm|spei|chen|mus|kel
Oberkörper,O|ber|kör|per
Oberschenkel,O|ber|schen|kel
Oberärztin,O|be|rärz|tin
Online-Spiele,On|line-|Spie|le
Operation,O|pe|ra|ti|on
Operationen,O|pe|ra|ti|o|nen
Orthopädie,Or|tho|pä|die
Panik,Pa|nik
Paraplegie,Pa|ra|ple|gie
Patient,Pa|tient
Patienten,Pa|tien|ten
Penis­Implantat,Pe|nis­|Im|plan|tat
per,per
pinkeln,pin|keln
Po,Po
Pool,Pool
positive,po|si|ti|ve
Power,Po|wer
Preis,Preis
Problem,Pro|blem
Probleme,Pro|ble|me
Pulli,Pul|li
Querschnitt,Quer|schnitt
Querschnittgelähmte,Quer|schnitt|ge|lähm|te
Querschnittgelähmten,Quer|schnitt|ge|lähm|ten
Querschnittgelähmter,Quer|schnitt|ge|lähm|ter
Querschnittlähmung,Quer|schnitt|läh|mung
Rangsdorfer,Rangs|dor|fer
Riesenschritt,Rie|sen|schritt
Risikobereitschaft,Ri|si|ko|be|reit|schaft
Rollstuhl,Roll|stuhl
Rückenmark,Rü|cken|mark
Rückenmarksnerven,Rü|cken|marks|ner|ven
Rückenmarkverletzte,Rü|cken|mark|ver|letz|te
Rückenmarkverletzungen,Rü|cken|mark|ver|let|zun|gen
Rückenmuskulatur,Rü|cken|mus|ku|la|tur
Rückenwirbel,Rü|cken|wir|bel
Rückgrat,Rück|grat
Rückseite,Rück|sei|te
Schmerzen,Schmer|zen
Schritt,Schritt
Schulter,Schul|ter
Schultermuskulatur,Schul|ter|mus|ku|la|tur
Schultern,Schul|tern
Schwarzenegger,Schwar|zen|eg|ger
Schwestern,Schwes|tern
Schwierigkeiten,Schwie|rig|kei|ten
Schädel,Schä|del
See,See
Sehnen,Seh|nen
sehnig,seh|nig
seitdem,seit|dem
Seiten,Sei|ten
Seitenlehnen,Sei|ten|leh|nen
Selbstmordgedanken,Selbst|mord|ge|dan|ken
Sensibilität,Sen|si|bi|li|tät
Sex,Sex
Sexualfunktion,Sex|u|al|funk|ti|on
Sexualität,Sex|u|a|li|tät
Sicht,Sicht
Single,Sing|le
Sitzposition,Sitz|po|si|ti|on
solche,sol|che
Sommer,Som|mer
Sommertag,Som|mer|tag
Sprung,Sprung
Sprungs,Sprungs
Spätsommer,Spät|som|mer
Steg,Steg
Steuerung,Steu|e|rung
Stimulation,Sti|mu|la|ti|on
Streifen,Strei|fen
Stromschlag,Strom|schlag
Strähnen,Sträh|nen
Stuhlentleerung,Stuhl|ent|lee|rung
T-Shirt,T-|Shirt
Tagesspiegel,Ta|ges|spie|gel
Tagesspiegel-Gesundheitsprojekte,Ta|ges|spie|gel-|Ge|sund|heits|pro|jek|te
Teile,Tei|le
Terrasse,Ter|ras|se
Tetraplegie,Te|tra|ple|gie
Tetraplegiker,Te|tra|ple|gi|ker
Text,Text
Textes,Tex|tes
Thema,The|ma
Therapiefortschritte,The|ra|pie|fort|schrit|te
Therapien,The|ra|pi|en
treibende,trei|ben|de
Triceps,Tri|ceps
Trick,Trick
Ufer,U|fer
Understatement,Un|der|state|ment
Unfall,Un|fall
Unfallkrankenhaus,Un|fall|kran|ken|haus
Unfalls,Un|falls
Unfälle,Un|fäl|le
Unmöglichkeit,Un|mög|lich|keit
Untersuchungen,Un|ter|su|chun|gen
Urin,U|rin
Ursache,Ur|sa|che
Verbesserung,Ver|bes|se|rung
Verbesserungen,Ver|bes|se|run|gen
Versorgung,Ver|sor|gung
Vorderwurzelstimulator,Vor|der|wur|zel|sti|mu|la|tor
Vorrichtung,Vor|rich|tung
Wahrheit,Wahr|heit
wann,wann
Wasseroberfläche,Was|ser|o|ber|flä|che
Wirbelbruch,Wir|bel|bruch
Wirbelsäule,Wir|bel|säu|le
Wohnung,Woh|nung
Wucht,Wucht
Wunsch,Wunsch
Zentimeter,Zen|ti|me|ter
Zentrum,Zen|trum
Zentrums,Zen|trums
Zimmers,Zim|mers
Zopf,Zopf
zugreifen,zu|grei|fen
Zustimmung,Zu|stim|mung
abgeschnitten,ab|ge|schnit|ten
abwärts,ab|wärts
aktiven,ak|ti|ven
aktiver,ak|ti|ver
allein,al|lein
angesteuert,an|ge|steu|ert
angewiesen,an|ge|wie|sen
ankamen,an|ka|men
anzusprechen,an|zu|spre|chen
armlangen,arm|lan|gen
auffallen.,auf|fal|len.
aufgenommen,auf|ge|nom|men
aufnehmen,auf|neh|men
aufpassen,auf|pas|sen
augenblicklich,au|gen|blick|lich
ausgleichen,aus|glei|chen
baut,baut
bedankt,be|dankt
bedienbar,be|dien|bar
befriedigende,be|frie|di|gen|de
beginnt,be|ginnt
begriffen,be|grif|fen
behandelnde,be|han|deln|de
behindertengerechte,be|hin|der|ten|ge|rech|te
beizuwohnen,bei|zu|woh|nen
bekam,be|kam
beschränkter,be|schränk|ter
besucht,be|sucht
betroffen,be|trof|fen
bewegen,be|we|gen
bewusste,be|wuss|te
bisher,bis|her
bisheriges,bis|he|ri|ges
brauche,brau|che
braucht,braucht
breit,breit
brettern,bret|tern
brutale,bru|ta|le
dahinter,da|hin|ter
damals,da|mals
daran,da|ran
darüber,da|rü|ber
denken,den|ken
deren,de|ren
deshalb,des|halb
deswegen,des|we|gen
deutlich,deutl|ich
diesem,die|sem
drauf,drauf
durchtrennten,durch|trenn|ten
dünn,dünn
eben,eben
einsehen,ein|se|hen
elektrischer,e|lek|tri|scher
endlich,end|lich
enge,en|ge
enorm,e|norm
entnehme,ent|neh|me
erfreuen,er|freu|en
ergangen,er|gan|gen
ergreifen,er|grei|fen
erinnert,er|in|nert
erklärt,er|klärt
erledigen,er|le|di|gen
erledigt,er|le|digt
erloschen,er|lo|schen
erneut,er|neut
erreichbar,er|reich|bar
erspart,er|spart
erwarten,er|war|ten
erzählt,er|zählt
etwa,et|wa
falsch,falsch
fast,fast
fiele,fie|le
fixiere,fi|xie|re
folgt,folgt
freue,freu|e
frisch,frisch
fuhr,fuhr
funktionieren,funk|ti|o|nie|ren
funktioniert,funk|ti|o|niert
fällt,fällt
geben,ge|ben
gebeugt,ge|beugt
gebrochen,ge|bro|chen
gebündelt,ge|bün|delt
gedreht,ge|dreht
geflochten,ge|floch|ten
geforscht,ge|forscht
gehe,ge|he
geht,geht
gekauft,ge|kauft
gelernt,ge|lernt
gelähmt,ge|lähmt
genau,ge|nau
genauer,ge|nau|er
generell,ge|ne|rell
gepflanzt,ge|pflanzt
gerade,ge|ra|de
gern,gern
geschlichen,ge|schli|chen
geschnitten,ge|schnit|ten
gesprochen,ge|spro|chen
gespürt,ge|spürt
getan,ge|tan
geweint,ge|weint
gewesen,ge|we|sen
gewordenen,ge|wor|de|nen
geworfen,ge|wor|fen
gezogen,ge|zo|gen
gleiche,glei|che
glücklich,glück|lich
glückliches,glück|li|ches
graue,grau|e
greifen,grei|fen
grinst,grinst
grinste,grins|te
großen,gro|ßen
größer,grö|ßer
größere,grö|ße|re
größeren,grö|ße|ren
hartes,har|tes
heilig,hei|lig
heulen,heu|len
heute,heu|te
hilft,hilft
hindurchzuschleusen,hin|durch|zu|schleu|sen
hinein,hi|nein
hineinführte,hi|nein|führ|te
hinteren,hin|te|ren
hinunter,hi|nun|ter
hinzu,hin|zu
hochstreifen,hoch|strei|fen
holte,hol|te
hätte,hät|te
häufigste,häu|fig|ste
hübsch,hübsch
ihn,ihn
installiert,in|stal|liert
intakt,in|takt
jemand,je|mand
jüngerer,jün|ge|rer
kahlrasierten,kahl|ra|sier|ten
kann,kann
kathetern,ka|the|tern
kaum,kaum
kein,kein
klarer,kla|rer
knallte,knall|te
komplett,kom|plett
komplexere,kom|plex|e|re
konstruiert,kon|stru|iert
kopfüber,kopf|über
kraftlos,kraft|los
kraxeln,kra|xeln
käme,kä|me
kämpfte,kämpf|te
könnte,könn|te
könnten,könn|ten
kümmern,küm|mern
lange,lan|ge
langes,lan|ges
lautete,lau|te|te
lebenslange,le|bens|lan|ge
lebensnotwendig,le|bens|not|wen|dig
lebt,lebt
lecken,le|cken
lernen,ler|nen
letzte,letz|te
lief,lief
linken,lin|ken
lohnt,lohnt
macht,macht
manuelle,ma|nu|el|le
medizinischen,me|di|zi|ni|schen
meinem,mei|nem
meinen,mei|nen
meinte,mein|te
meiste,meis|te
menschlicher,mensch|li|cher
mittun,mit|tun
motorische,mo|to|ri|sche
nachdem,nach|dem
nennt,nennt
neuen,neu|en
nice,nice
nichts,nichts
nie,nie
niedergelassenen,nie|der|ge|las|se|nen
notwendig,not|wen|dig
nutzlos,nutz|los
offenbar,of|fen|bar
optimistische,op|ti|mis|ti|sche
ordentlich,or|dent|lich
passieren,pas|sie|ren
pinkeln,pin|keln
pragmatisch,prag|ma|tisch
quasi,qua|si
querschnittgelähmten,quer|schnitt|ge|lähm|ten
rankomme,ran|kom|me
rannte,rann|te
rasieren,ra|sie|ren
rational,ra|ti|o|nal
reagierten,re|a|gier|ten
real,re|al
rechtzeitig,recht|zei|tig
regeneriere,re|ge|ne|rie|re
regenerieren,re|ge|ne|rie|ren
reichlich,reich|lich
richtig,rich|tig
richtigen,rich|ti|gen
riesige,rie|si|ge
rot,rot
gelb,gelb
blau,blau
grün,grün
lila,li|la
orange,o|range
roten,ro|ten
gelben,gel|ben
blaues,blau|es
ruhiger,ru|hi|ger
runterlassen,run|ter|las|sen
saß,saß
scheinbar,schein|bar
schließe,schlie|ße
schlägt,schlägt
schmalen,schma|len
schmaler,schma|ler
schmücken,schmü|cken
schnell,schnell
schwer,schwer
schwere,schwe|re
schwierig,schwie|rig
schätzen,schät|zen
schüttelt,schüt|telt
seinen,sei|nen
seines,sei|nes
seitdem,seit|dem
seither,seit|her
selbstständig,selbst|stän|dig
senkrecht,senk|recht
sie,sie
siebte,sieb|te
sitzen,sit|zen
sitzt,sitzt
solch,solch
solche,sol|che
sprach,sprach
sprang,sprang
sprechen,spre|chen
spricht,spricht
später,spä|ter
spüren,spü|ren
spürt,spürt
stabilem,sta|bi|lem
stammt,stammt
stationär,sta|ti|o|när
stecke,ste|cke
steckte,steck|te
steigen,stei|gen
steil,steil
steuern,steu|ern
still,still
stimuliert,sti|mu|liert
strahlt,strahlt
strecken,stre|cken
studierte,stu|dier|te
ständig,stän|dig
summiert,sum|miert
tatsächlich,tat|säch|lich
therapiert,the|ra|piert
trieb,trieb
trägt,trägt
täglich,täg|lich
umfassenden,um|fas|sen|den
umgefallen,um|ge|fal|len
unbekannte,un|be|kann|te
unerreichbar,un|er|reich|bar
unglücklichen,un|glück|li|chen
unten,un|ten
untere,un|te|re
verabredet,ver|ab|re|det
verboten,ver|bo|ten
verbunden,ver|bun|den
vergangenen,ver|gan|ge|nen
verkabelte,ver|ka|bel|te
verliert,ver|liert
verloren,ver|lo|ren
vernarbten,ver|narb|ten
verneinen,ver|nei|nen
versetze,ver|set|ze
verzweifelten,ver|zwei|fel|ten
veränderte,ver|än|der|te
vieler,vie|ler
vielleicht,viel|leicht
virtuell,vir|tu|ell
vorbei,vor|bei
vorbeikommen,vor|bei|kom|men
vorher,vor|her
vorn,vorn
vornüberkippt,vorn|ü|ber|kippt
völlig,völ|lig
wackelt,wa|ckelt
wann,wann
warmer,war|mer
warnen,war|nen
wartete,war|te|te
weder,we|der
weg,weg
weit,weit
weiß,weiß
wiederherstellen,wie|der|her|stel|len
wilde,wil|de
wirkte,wirk|te
wissen,wis|sen
wohl,wohl
worum,wo|rum
wäre,wä|re
wären,wä|ren
zappelig,zap|pe|lig
zeigte,zeig|te
zockt,zockt
zufrieden,zu|frie|den
zurückerkämpft,zu|rück|er|kämpft
zurückerlangen,zu|rück|er|lan|gen
zurückzubringen,zu|rück|zu|brin|gen
zurückzugeben,zu|rück|zu|ge|ben
zusammenwachsen,zu|sam|men|wach|sen
zuständigen,zu|stän|di|gen
zutiefst,zu|tiefst
zweimal,zwei|mal
zweite,zwei|te
Ältere,Äl|te|re
Ärzte,Ärz|te
Übernahme,Ü|ber|nah|me
Überzeugung,Ü|ber|zeu|gung
ältere,äl|te|re
ändern,än|dern
öffne,öff|ne
öffnen,öff|nen
überlegt,ü|ber|legt
überraschen,ü|ber|ra|schen
überraschender,ü|ber|ra|schen|der
überraschenderweise,ü|ber|ra|schen|der|wei|se
übertragenen,ü|ber|tra|ge|nen
